long,racial_group,index,unclear,correct
i don't know who will get this questionnaire but where ever it goes i hope that i get some consideration because i would be more use in a defense plant than i would be here in the army. i love the army but i can't go overseas and i don't want no non combat unit if i have to stay i want to be an m.p. i am sorry but it was not my fault that [unclear] shot [/unclear] messed me up a year last february i love my country and i tried hard to get in foreign services before i got that shot now i am in no condition whoever get this i hope that the will give me some consideration,black,1206,[unclear] shot [/unclear],shot
there is but one thing i have to say and that is i am tired of the army and i want to spend some time in [unclear]like[/unclear] and more i believe it would kill me some day i will be proud to walk or go home a free man from the army.,black,1218,[unclear]like[/unclear],like
"i am a soldiers that is willing to work any where i am put - there are some that have different ideas,  negroes soldiers in the south are not treated as they should. my home is in va thing there are a little differebce than they are further south.  but i am get along any where i [unclear] go [/unclear]",black,1228,[unclear] go [/unclear],go
i as a soldier of the usa wishes to say while we all are trying to win this war for good of the peoples of the united states lets make it equal and free - also fair for all rases [races] that our slogan free [unclear]civlites[/unclear] for all now - the future always -,black,1252,[unclear]civlites[/unclear],
would [unclear]love[/unclear] to take my training more  family. cant [unclear]should[/unclear] [unclear]match[/unclear]  the family why shouldn't take our [unclear]rooming[/unclear] [unclear]more[/unclear],black,1260,[unclear]love[/unclear],love
would [unclear]love[/unclear] to take my training more  family. cant [unclear]should[/unclear] [unclear]match[/unclear]  the family why shouldn't take our [unclear]rooming[/unclear] [unclear]more[/unclear],black,1260,[unclear]should[/unclear],should
would [unclear]love[/unclear] to take my training more  family. cant [unclear]should[/unclear] [unclear]match[/unclear]  the family why shouldn't take our [unclear]rooming[/unclear] [unclear]more[/unclear],black,1260,[unclear]match[/unclear],match
would [unclear]love[/unclear] to take my training more  family. cant [unclear]should[/unclear] [unclear]match[/unclear]  the family why shouldn't take our [unclear]rooming[/unclear] [unclear]more[/unclear],black,1260,[unclear]rooming[/unclear],rooming
would [unclear]love[/unclear] to take my training more  family. cant [unclear]should[/unclear] [unclear]match[/unclear]  the family why shouldn't take our [unclear]rooming[/unclear] [unclear]more[/unclear],black,1260,[unclear]more[/unclear],more
how come every [unclear]body[/unclear] isn't together in the same outfit we all can't be  alike but we should and we all should be for one another and that isn't fair when the white soilder have the best [unclear]insignia[/unclear] on their arm and we cannot wear our service caps and that is not wright because the can wear them.,black,1282,[unclear]body[/unclear],body
how come every [unclear]body[/unclear] isn't together in the same outfit we all can't be  alike but we should and we all should be for one another and that isn't fair when the white soilder have the best [unclear]insignia[/unclear] on their arm and we cannot wear our service caps and that is not wright because the can wear them.,black,1282,[unclear]insignia[/unclear],insignia
"they should give you more dress clothes because two pair pants, and two shirts [unclear]that[/unclear] not enough for a soldier. and they shoud give you a chance to show them what you can do. they should pick both the n.c.o. and  n.c.o. because some of the privates would make better n.c.o. i think that a soldier should have a saturday and sunday to do as he pleased.  why dont they give negro a chance because they be as good as the white man",black,1287,[unclear]that[/unclear],that
i ben shot in my right  in 1941 and i am rupted in my left  and i dont see how i pass [unclear]examination[/unclear] my  [unclear] laughter [/unclear]  now and my  do to the outfit i am in now is to hard for me it i could get a light got in the army i would be pretty well please,black,1293,[unclear]examination[/unclear],examination
i ben shot in my right  in 1941 and i am rupted in my left  and i dont see how i pass [unclear]examination[/unclear] my  [unclear] laughter [/unclear]  now and my  do to the outfit i am in now is to hard for me it i could get a light got in the army i would be pretty well please,black,1293,[unclear] laughter [/unclear],laughter
i would really feel better if my brother and i was together in the camp because he is in one camp and i am in another i stay worried about him all the time and he want to be with me and i want to be with him and if i could get a transfer to his camp [unclear]one[/unclear] he would be to mind we two would feel much better,black,1299,[unclear]one[/unclear],one
i thank these questions are inter[unclear]ance[/unclear] brode about the pass and the future to come.,black,1302,[unclear]ance[/unclear],
where is you going to and no where to go here. if i could go to town. i would . man feel out no where to go [unclear]here[/unclear] but the hook out . what make a good salgen in a pan to town for engage went   can't go you sick then i would be better worker  work than here sick an cant  lord let me go where it will be better to. man in no good sick and [unclear]hert[/unclear] an you say  well you ant got my  you dont no [know] how i [unclear]killd[/unclear]or please dont say you do. lord let me go somewhere better than here.,black,1312,[unclear]here[/unclear],here
where is you going to and no where to go here. if i could go to town. i would . man feel out no where to go [unclear]here[/unclear] but the hook out . what make a good salgen in a pan to town for engage went   can't go you sick then i would be better worker  work than here sick an cant  lord let me go where it will be better to. man in no good sick and [unclear]hert[/unclear] an you say  well you ant got my  you dont no [know] how i [unclear]killd[/unclear]or please dont say you do. lord let me go somewhere better than here.,black,1312,[unclear]hert[/unclear],hurt
where is you going to and no where to go here. if i could go to town. i would . man feel out no where to go [unclear]here[/unclear] but the hook out . what make a good salgen in a pan to town for engage went   can't go you sick then i would be better worker  work than here sick an cant  lord let me go where it will be better to. man in no good sick and [unclear]hert[/unclear] an you say  well you ant got my  you dont no [know] how i [unclear]killd[/unclear]or please dont say you do. lord let me go somewhere better than here.,black,1312,[unclear]killd[/unclear],killed
i have a question to ask you sur this i cant cant slay[stay] a awary every time i law down & go to slepeeps i have been just [unclear]14[/unclear] month i messd lilte i wood like to learn all about this army i can and to all i can to win mine healp them to when,black,1315,[unclear]14[/unclear],14
"well one thing is i think that men in army [unclear]unspect[/unclear] should have one job that they are best [unclear]fected[/unclear] jobs cain do so are have some kind of a deperence job of some kind it are hundred and hundred of [unclear]men[/unclear] an the army now that not ficted [fitted?] for this work, an the next thing they should be in the army at the beginding as we are of course we shoulden have any hep to fight [unclear]jack[/unclear] [unclear]anny[/unclear] let them people over their fight if they desire, the negros are not the caus of this war even if that way were are most sertenely [certainly] [unclear]unfected[/unclear] for any parts of this war.",black,1316,[unclear]unspect[/unclear],unit
"well one thing is i think that men in army [unclear]unspect[/unclear] should have one job that they are best [unclear]fected[/unclear] jobs cain do so are have some kind of a deperence job of some kind it are hundred and hundred of [unclear]men[/unclear] an the army now that not ficted [fitted?] for this work, an the next thing they should be in the army at the beginding as we are of course we shoulden have any hep to fight [unclear]jack[/unclear] [unclear]anny[/unclear] let them people over their fight if they desire, the negros are not the caus of this war even if that way were are most sertenely [certainly] [unclear]unfected[/unclear] for any parts of this war.",black,1316,[unclear]fected[/unclear],
"well one thing is i think that men in army [unclear]unspect[/unclear] should have one job that they are best [unclear]fected[/unclear] jobs cain do so are have some kind of a deperence job of some kind it are hundred and hundred of [unclear]men[/unclear] an the army now that not ficted [fitted?] for this work, an the next thing they should be in the army at the beginding as we are of course we shoulden have any hep to fight [unclear]jack[/unclear] [unclear]anny[/unclear] let them people over their fight if they desire, the negros are not the caus of this war even if that way were are most sertenely [certainly] [unclear]unfected[/unclear] for any parts of this war.",black,1316,[unclear]men[/unclear],men
"well one thing is i think that men in army [unclear]unspect[/unclear] should have one job that they are best [unclear]fected[/unclear] jobs cain do so are have some kind of a deperence job of some kind it are hundred and hundred of [unclear]men[/unclear] an the army now that not ficted [fitted?] for this work, an the next thing they should be in the army at the beginding as we are of course we shoulden have any hep to fight [unclear]jack[/unclear] [unclear]anny[/unclear] let them people over their fight if they desire, the negros are not the caus of this war even if that way were are most sertenely [certainly] [unclear]unfected[/unclear] for any parts of this war.",black,1316,[unclear]jack[/unclear],jack
"well one thing is i think that men in army [unclear]unspect[/unclear] should have one job that they are best [unclear]fected[/unclear] jobs cain do so are have some kind of a deperence job of some kind it are hundred and hundred of [unclear]men[/unclear] an the army now that not ficted [fitted?] for this work, an the next thing they should be in the army at the beginding as we are of course we shoulden have any hep to fight [unclear]jack[/unclear] [unclear]anny[/unclear] let them people over their fight if they desire, the negros are not the caus of this war even if that way were are most sertenely [certainly] [unclear]unfected[/unclear] for any parts of this war.",black,1316,[unclear]anny[/unclear],any
"well one thing is i think that men in army [unclear]unspect[/unclear] should have one job that they are best [unclear]fected[/unclear] jobs cain do so are have some kind of a deperence job of some kind it are hundred and hundred of [unclear]men[/unclear] an the army now that not ficted [fitted?] for this work, an the next thing they should be in the army at the beginding as we are of course we shoulden have any hep to fight [unclear]jack[/unclear] [unclear]anny[/unclear] let them people over their fight if they desire, the negros are not the caus of this war even if that way were are most sertenely [certainly] [unclear]unfected[/unclear] for any parts of this war.",black,1316,[unclear]unfected[/unclear],
i want to know after the ware could i still stay at home and still work for [unclear]united[/unclear] i not and i want to know will i get any more money than i am as a pfc and if i married would my money be any more  will we get bonace [bonus] after the war  if we dont [don't] when we   will i take before we get it[.] will we get our insurance in a short while[?],black,1324,[unclear]united[/unclear],united
i have ben in the army far 15 month and have ben treated like a dog by white and negro offerics in the first plac thay have to much power over a soldier thay put. then in the guard has when thay get.  and the army is never wrong you ask for an thing and thay give you somthing else. and i wish that i cad tell the world what. i thank about. this army and how we ar treated lets stay i cad say a lot man if i cad  after it [unclear]bud[/unclear] than esen much man to say. i thank you.,black,1332,[unclear]bud[/unclear],bud
"i feel as an american citizen and a soldier in the u.s. army, that a colored soldier should be abole to buy from any p.x. [army exchange] on the post. i don't think they should have a separate p.x. [army exchange] for the white and colored soldiers because in the long run the colored and white soldiers will be killed side by side.  the colored soldier does not feel justified in going to the picture show where they have a section [unclear]designated[/unclear]for him to sit",black,1337,[unclear]designated[/unclear],designated
i think that the soldiers should be treated the best of all because they are willing to fight for their country. and go [unclear]any[/unclear] they  to and do what they to as long as they are right and they should have the best of every thing. and we soldiers would like to have some more forlong [furlong] time.,black,1343,[unclear]any[/unclear],any
i dont like the med. [unclear]det[/unclear] would like to get in some other out fit would like to leave huschuca dont like the way things are run out here very little respect they give to officers. you cant get your clothes cange when thy wear out you have to wear o.d.s. cant get your clothes clean and pressed ,black,1351,[unclear]det[/unclear],
i' dont lak here becose it is so may roch and mount here for me  i' dont l'  in the army then i' cant not go when i' want in the army if misst fed ahich i' will be put on some  [unclear]duty[/unclear] so that whay i' dont lake the i' can not go to see no girls in the army lest i' have a past and  dont lake army so some time thing that wold bettre of dide ,black,1358,[unclear]duty[/unclear],duty
"this questionnaire may not be red [read] by only one man he do not know the least of the american negro. they are dying for a free country if every one know how he fell [feel] when a white officer treat him like a dog. and he [unclear]have[/unclear] know [no] way of getting back at him it make him feal [feel] as if he is a slave peopl [people] of america give my black [unclear]brother[/unclear] a chance so if i die i know that i havent die in vain, give [unclear]them[/unclear] somethng [something] to fight dont take every thing from them let them live and be happy we love america will fight and die for it we are at your beck and call let forget [unclear]abscermatin[/unclear] and  and try [unclear]and[/unclear] win this war for we must win or die in slave.",black,1360,[unclear]have[/unclear],have
"this questionnaire may not be red [read] by only one man he do not know the least of the american negro. they are dying for a free country if every one know how he fell [feel] when a white officer treat him like a dog. and he [unclear]have[/unclear] know [no] way of getting back at him it make him feal [feel] as if he is a slave peopl [people] of america give my black [unclear]brother[/unclear] a chance so if i die i know that i havent die in vain, give [unclear]them[/unclear] somethng [something] to fight dont take every thing from them let them live and be happy we love america will fight and die for it we are at your beck and call let forget [unclear]abscermatin[/unclear] and  and try [unclear]and[/unclear] win this war for we must win or die in slave.",black,1360,[unclear]brother[/unclear],brother
"this questionnaire may not be red [read] by only one man he do not know the least of the american negro. they are dying for a free country if every one know how he fell [feel] when a white officer treat him like a dog. and he [unclear]have[/unclear] know [no] way of getting back at him it make him feal [feel] as if he is a slave peopl [people] of america give my black [unclear]brother[/unclear] a chance so if i die i know that i havent die in vain, give [unclear]them[/unclear] somethng [something] to fight dont take every thing from them let them live and be happy we love america will fight and die for it we are at your beck and call let forget [unclear]abscermatin[/unclear] and  and try [unclear]and[/unclear] win this war for we must win or die in slave.",black,1360,[unclear]them[/unclear],them
"this questionnaire may not be red [read] by only one man he do not know the least of the american negro. they are dying for a free country if every one know how he fell [feel] when a white officer treat him like a dog. and he [unclear]have[/unclear] know [no] way of getting back at him it make him feal [feel] as if he is a slave peopl [people] of america give my black [unclear]brother[/unclear] a chance so if i die i know that i havent die in vain, give [unclear]them[/unclear] somethng [something] to fight dont take every thing from them let them live and be happy we love america will fight and die for it we are at your beck and call let forget [unclear]abscermatin[/unclear] and  and try [unclear]and[/unclear] win this war for we must win or die in slave.",black,1360,[unclear]abscermatin[/unclear],
"this questionnaire may not be red [read] by only one man he do not know the least of the american negro. they are dying for a free country if every one know how he fell [feel] when a white officer treat him like a dog. and he [unclear]have[/unclear] know [no] way of getting back at him it make him feal [feel] as if he is a slave peopl [people] of america give my black [unclear]brother[/unclear] a chance so if i die i know that i havent die in vain, give [unclear]them[/unclear] somethng [something] to fight dont take every thing from them let them live and be happy we love america will fight and die for it we are at your beck and call let forget [unclear]abscermatin[/unclear] and  and try [unclear]and[/unclear] win this war for we must win or die in slave.",black,1360,[unclear]and[/unclear],and
"sir i will say in los angelese, california, colored and white people go to school together and learn to love one another. they go to one another house and eat together and be merry. but the south has a diffin message all together. the only thing in the wirld thay would do is him a cook and a [unclear]sholber?[/unclear]. thay don't bleaving paying a negro not much money because thay as afraid to do so because if thay give him a half a chance he will come on top. so that why i would(n't) live in the south. because it isn't no good for a nigro at all. the north are the west are better for negroes because i has experienced that for my self. i like losangeles california the reasin i like it is because the white and the negrow {negro} are taught the same thing and not taught to hate one e nother but the saught are taught to hate negrow {negro} but god said to love one e nother and thir {there} all way will be a place in his heart for all i am speaking my mind about this was half of the white and half of the negrow are wonder what are goner happton to one nother some of the white are never goner chang thay will all ways hate a negrow and some of the negrow will all way will hate a white man because it was from birth think you very much",black,1363,[unclear]sholber?[/unclear],
i am beening tain under white and colord offers from both north and south. there is lots difference between them. i like the northern ones better.  all solders should have the same rights.  i am with a good outfit and i like i am proud of it. i would be more proud of it if i know the results it is giving to bring in regards of the war and [unclear]condisions[/unclear] for all race of people.  they can be depend up an to no a lots of damage in the enemy tiretory,black,1365,[unclear]condisions[/unclear],conditions
"i have observed since being in the army that white people and negroes can work together harmoniously. its bad as hell that it had to take a war to make people (especially white) [to] see this. the war department has found this to be true but still in some instances are reluctant to clarify some situations. the war department could do a hell of a lot towards building up morale by seeing that negro soldiers are accorded the same[conveniences/unclear] as white soldiers. i should like to see, very much, negro officers given a break and treated as officers. in a lot of instances, whites don't want to recognize them as officers. in the opinion of, not only [pearl buck/unclear], but millions of others, negroes could and would do a hell of a lot more for not only the war effort but making this a real democracy. then i think the negroes in civilian life should be given a chance to their ability and i should like to see those abilities recognized. when we negro soldiers (some of us anyway) pick up a news paper and see other negroes hanging from bridges and trees and tortured & [unclear]otherwise[/unclear], we can get awfully low in the . consequently, some of us say, ""what the hell."" and, naturally, we don't feel like ""going all out"" for the thing. something should be done about this, definitely. i will be glad when it's all over.",black,1368,[unclear]otherwise[/unclear],otherwise
"when a man is drafted he expects to be placed where his civilian experience can do the most good. i have spent 5 1/4 years in college, hold 2 degrees and have 14 years of experience in administrative procedures, including 6 years as a high school teacher. have taken part in many educational and civic projects. have lectured and written on 12 subjects both in civilian and army life.  was chosen for officers candidate school spent 2 months returned to my old outfit with an excellent record because i was sent to a combat school (did not graduate). i have had only stock clerk and [unclear]lecturing[/unclear] experience in the army. have had no field experience which was the cause of my dismissal.  i should be permitted to attend an administrative school where i can be a success while a member of the armed forces. a letter of recommendation was given me by the commandant of the school for such a transfer.",black,1369,[unclear]lecturing[/unclear],lecturing
the main thing i would like to talk about the way my first sargent is. he is [unclear]not[/unclear] half fair. i think if a man wants to be transferred to another outfit he should be transferred because he would serve his country better where he wants to be.,black,1393,[unclear]not[/unclear],not
i dont have any comments to make because it does  help and   the other the way  feel [unclear]about[/unclear]  but so for my outfit i am proud to be in it but i am sorry to be in the south. the white people dont treat you as soldiers here. they dont address you as solders. may address as boy or something else much . so if i have help my  race or my people then i am glad but if not i am sorry you have taken up my time. your very truly i wish i could give my name but can not so that that feb 1 6 1942,black,1399,[unclear]about[/unclear],about
tat negro are not treated fair in the first place they do not have [unclear]surfithins[/unclear] place to go the way they it is now that [unclear]army[/unclear] [unclear]privat[/unclear] can come to the country and he or she will be treated good but a negro gits nothing who [unclear]soever[/unclear] thout of this idea it was a good one. the negro are not treated fair in the first place they do not have [unclear]surfithion[/unclear] places to go the way they it is now that [unclear]every[/unclear] for  come to the country and be [unclear]able[/unclear] will be treated good but a negro gits nothin who [unclear]s?????[/unclear] thout of this idea it was a good one,black,1401,[unclear]surfithins[/unclear],
tat negro are not treated fair in the first place they do not have [unclear]surfithins[/unclear] place to go the way they it is now that [unclear]army[/unclear] [unclear]privat[/unclear] can come to the country and he or she will be treated good but a negro gits nothing who [unclear]soever[/unclear] thout of this idea it was a good one. the negro are not treated fair in the first place they do not have [unclear]surfithion[/unclear] places to go the way they it is now that [unclear]every[/unclear] for  come to the country and be [unclear]able[/unclear] will be treated good but a negro gits nothin who [unclear]s?????[/unclear] thout of this idea it was a good one,black,1401,[unclear]army[/unclear],army
tat negro are not treated fair in the first place they do not have [unclear]surfithins[/unclear] place to go the way they it is now that [unclear]army[/unclear] [unclear]privat[/unclear] can come to the country and he or she will be treated good but a negro gits nothing who [unclear]soever[/unclear] thout of this idea it was a good one. the negro are not treated fair in the first place they do not have [unclear]surfithion[/unclear] places to go the way they it is now that [unclear]every[/unclear] for  come to the country and be [unclear]able[/unclear] will be treated good but a negro gits nothin who [unclear]s?????[/unclear] thout of this idea it was a good one,black,1401,[unclear]privat[/unclear],private
tat negro are not treated fair in the first place they do not have [unclear]surfithins[/unclear] place to go the way they it is now that [unclear]army[/unclear] [unclear]privat[/unclear] can come to the country and he or she will be treated good but a negro gits nothing who [unclear]soever[/unclear] thout of this idea it was a good one. the negro are not treated fair in the first place they do not have [unclear]surfithion[/unclear] places to go the way they it is now that [unclear]every[/unclear] for  come to the country and be [unclear]able[/unclear] will be treated good but a negro gits nothin who [unclear]s?????[/unclear] thout of this idea it was a good one,black,1401,[unclear]soever[/unclear],so ever
tat negro are not treated fair in the first place they do not have [unclear]surfithins[/unclear] place to go the way they it is now that [unclear]army[/unclear] [unclear]privat[/unclear] can come to the country and he or she will be treated good but a negro gits nothing who [unclear]soever[/unclear] thout of this idea it was a good one. the negro are not treated fair in the first place they do not have [unclear]surfithion[/unclear] places to go the way they it is now that [unclear]every[/unclear] for  come to the country and be [unclear]able[/unclear] will be treated good but a negro gits nothin who [unclear]s?????[/unclear] thout of this idea it was a good one,black,1401,[unclear]surfithion[/unclear],
tat negro are not treated fair in the first place they do not have [unclear]surfithins[/unclear] place to go the way they it is now that [unclear]army[/unclear] [unclear]privat[/unclear] can come to the country and he or she will be treated good but a negro gits nothing who [unclear]soever[/unclear] thout of this idea it was a good one. the negro are not treated fair in the first place they do not have [unclear]surfithion[/unclear] places to go the way they it is now that [unclear]every[/unclear] for  come to the country and be [unclear]able[/unclear] will be treated good but a negro gits nothin who [unclear]s?????[/unclear] thout of this idea it was a good one,black,1401,[unclear]every[/unclear],every
tat negro are not treated fair in the first place they do not have [unclear]surfithins[/unclear] place to go the way they it is now that [unclear]army[/unclear] [unclear]privat[/unclear] can come to the country and he or she will be treated good but a negro gits nothing who [unclear]soever[/unclear] thout of this idea it was a good one. the negro are not treated fair in the first place they do not have [unclear]surfithion[/unclear] places to go the way they it is now that [unclear]every[/unclear] for  come to the country and be [unclear]able[/unclear] will be treated good but a negro gits nothin who [unclear]s?????[/unclear] thout of this idea it was a good one,black,1401,[unclear]able[/unclear],able
tat negro are not treated fair in the first place they do not have [unclear]surfithins[/unclear] place to go the way they it is now that [unclear]army[/unclear] [unclear]privat[/unclear] can come to the country and he or she will be treated good but a negro gits nothing who [unclear]soever[/unclear] thout of this idea it was a good one. the negro are not treated fair in the first place they do not have [unclear]surfithion[/unclear] places to go the way they it is now that [unclear]every[/unclear] for  come to the country and be [unclear]able[/unclear] will be treated good but a negro gits nothin who [unclear]s?????[/unclear] thout of this idea it was a good one,black,1401,[unclear]s?????[/unclear],
"who ever written this had a very good idea [unclear]deal[/unclear]. if it going to be cary out some thing like he on the written it. who ever written this had a very good idee deal, if it going to be cay out somethang like he or the written it,",black,1402,[unclear]deal[/unclear],deal
"i would like to know when we going to combat, will the german pick negro soldier from the white soldiers and just kill white soldier and [unclear]leave[/unclear] the negro soldier stand there. you know would do that but the army [unclear]we[/unclear] to have race predjudice. i would like to know about that. if i could give my name i would do that rank order is order, i will obey them. i think they should like the negro soldier in the north stay there because is more trouble. you see you are fighting [unclear]then even [/unclear]between white and negro. the southern white man still think slave time. they have forgot that [unclear]a. kinlan[/unclear] free negro. p. s.",black,1405,[unclear]leave[/unclear],leave
"i would like to know when we going to combat, will the german pick negro soldier from the white soldiers and just kill white soldier and [unclear]leave[/unclear] the negro soldier stand there. you know would do that but the army [unclear]we[/unclear] to have race predjudice. i would like to know about that. if i could give my name i would do that rank order is order, i will obey them. i think they should like the negro soldier in the north stay there because is more trouble. you see you are fighting [unclear]then even [/unclear]between white and negro. the southern white man still think slave time. they have forgot that [unclear]a. kinlan[/unclear] free negro. p. s.",black,1405,[unclear]we[/unclear],we
"i would like to know when we going to combat, will the german pick negro soldier from the white soldiers and just kill white soldier and [unclear]leave[/unclear] the negro soldier stand there. you know would do that but the army [unclear]we[/unclear] to have race predjudice. i would like to know about that. if i could give my name i would do that rank order is order, i will obey them. i think they should like the negro soldier in the north stay there because is more trouble. you see you are fighting [unclear]then even [/unclear]between white and negro. the southern white man still think slave time. they have forgot that [unclear]a. kinlan[/unclear] free negro. p. s.",black,1405,[unclear]then even [/unclear],then even
"i would like to know when we going to combat, will the german pick negro soldier from the white soldiers and just kill white soldier and [unclear]leave[/unclear] the negro soldier stand there. you know would do that but the army [unclear]we[/unclear] to have race predjudice. i would like to know about that. if i could give my name i would do that rank order is order, i will obey them. i think they should like the negro soldier in the north stay there because is more trouble. you see you are fighting [unclear]then even [/unclear]between white and negro. the southern white man still think slave time. they have forgot that [unclear]a. kinlan[/unclear] free negro. p. s.",black,1405,[unclear]a. kinlan[/unclear],
no way calulde!. i am not treated roight no where i go be cause we wr kill in the street and push off bus and train all over the world and meu will be treated right lone bt the usualth stand [unclear]people[/unclear][unclear]not[/unclear] treated[unclear] throughout[/unclear][unclear]my[/unclear] be cause [because] we kill in the street and push of bus and train all  the would and memory will be treated right some [unclear]as[/unclear] the would stand,black,1406,[unclear]people[/unclear],people
no way calulde!. i am not treated roight no where i go be cause we wr kill in the street and push off bus and train all over the world and meu will be treated right lone bt the usualth stand [unclear]people[/unclear][unclear]not[/unclear] treated[unclear] throughout[/unclear][unclear]my[/unclear] be cause [because] we kill in the street and push of bus and train all  the would and memory will be treated right some [unclear]as[/unclear] the would stand,black,1406,,
no way calulde!. i am not treated roight no where i go be cause we wr kill in the street and push off bus and train all over the world and meu will be treated right lone bt the usualth stand [unclear]people[/unclear][unclear]not[/unclear] treated[unclear] throughout[/unclear][unclear]my[/unclear] be cause [because] we kill in the street and push of bus and train all  the would and memory will be treated right some [unclear]as[/unclear] the would stand,black,1406,[unclear] throughout[/unclear],throughout
no way calulde!. i am not treated roight no where i go be cause we wr kill in the street and push off bus and train all over the world and meu will be treated right lone bt the usualth stand [unclear]people[/unclear][unclear]not[/unclear] treated[unclear] throughout[/unclear][unclear]my[/unclear] be cause [because] we kill in the street and push of bus and train all  the would and memory will be treated right some [unclear]as[/unclear] the would stand,black,1406,,my
no way calulde!. i am not treated roight no where i go be cause we wr kill in the street and push off bus and train all over the world and meu will be treated right lone bt the usualth stand [unclear]people[/unclear][unclear]not[/unclear] treated[unclear] throughout[/unclear][unclear]my[/unclear] be cause [because] we kill in the street and push of bus and train all  the would and memory will be treated right some [unclear]as[/unclear] the would stand,black,1406,[unclear]as[/unclear],
our company com[m]ander is out of the south and he give [unclear]g...[/unclear] to whose he want to have their and them he dont like he do give them a transfer for nothing that have a  in hte army now but it make no difference bout many so far as i am getting  feb 16 1943,black,1410,[unclear]g...[/unclear],
i answered the question at the best of my ability. the [unclear]towns[/unclear] that we have to got to is just like a rat hole. when we want to give a dance its awfully hard to get a bigger place. the clubs  px's are like a [unclear]hell[/unclear] no room what so ever. isn't it some way we could enjoy our self like the white boys. it would be better if we could be stationed nearer home.,black,1413,[unclear]towns[/unclear],towns
i answered the question at the best of my ability. the [unclear]towns[/unclear] that we have to got to is just like a rat hole. when we want to give a dance its awfully hard to get a bigger place. the clubs  px's are like a [unclear]hell[/unclear] no room what so ever. isn't it some way we could enjoy our self like the white boys. it would be better if we could be stationed nearer home.,black,1413,[unclear]hell[/unclear],hell
"the moral of a negro soldier can be good or bad depending on his co. our co does everything to keep our moral down he can. this outfit would be one good outfit if the co did not keep every one's moral so low. he refuses to send any men to ocs and such things as that. one thing that burns me up is to have some white officer say 'nigger' to me or around me, and believe me they will say it here and think nothing of it. the [unclear]drunk[/unclear] nco's in our outfit will not allow a man a chance to do anything. a man can make good but he has to be given a chance. when the white man wakes up and sees that he can't win this war, and keep one hand on the negro's head at the same time maybe we as a race will surprise everyone. there is no comparison between how the moral of the white & negro soldiers stack up. the white fellow is given every opportunity for advancement while the negro just has to do the best he can. unless some changes are made in [unclear]leadership[/unclear] of outfits after the war we will find that the southern white soldier has done all he can to degrade the negro. some thing will have to be done soon.",black,1421,[unclear]drunk[/unclear],drunk
"the moral of a negro soldier can be good or bad depending on his co. our co does everything to keep our moral down he can. this outfit would be one good outfit if the co did not keep every one's moral so low. he refuses to send any men to ocs and such things as that. one thing that burns me up is to have some white officer say 'nigger' to me or around me, and believe me they will say it here and think nothing of it. the [unclear]drunk[/unclear] nco's in our outfit will not allow a man a chance to do anything. a man can make good but he has to be given a chance. when the white man wakes up and sees that he can't win this war, and keep one hand on the negro's head at the same time maybe we as a race will surprise everyone. there is no comparison between how the moral of the white & negro soldiers stack up. the white fellow is given every opportunity for advancement while the negro just has to do the best he can. unless some changes are made in [unclear]leadership[/unclear] of outfits after the war we will find that the southern white soldier has done all he can to degrade the negro. some thing will have to be done soon.",black,1421,[unclear]leadership[/unclear],leadership
in the ledger of this booklet the question about whether the negro will get any better treatment or not personally i think if there dont be more [unclear]teaching[/unclear] on that subject things will never change unless the law enforses it,black,1430,[unclear]teaching[/unclear],teaching
i have decided what i am going to do after the war i am going to get married to the girl i love and return to my old job at the [unclear]wool[/unclear] factory and buy me a place of my own and make things pleasant for my wife and family and after that i will return to some airport and take up flying the [unclear]job[/unclear] i love most in the world because i believe after the war there will be more planes bought and before the war. i have always wanted to fly and i believe my chance will come in [unclear]fact[/unclear] i can [unclear]me it will [/unclear]the girl that i am going to marry don't want me to fly but i would almost give her up if i had to choose between her and flying ever since i was a little boy i loved aviation and when i had just about enough money to start training [unclear]well[/unclear] something happened and then came the war as i had to put it off until after the war but i am still hoping the war will end soon so i can begin flying as soon as possible i think if i stick to my about flying i will get somewhere.,black,1432,[unclear]wool[/unclear],wool
i have decided what i am going to do after the war i am going to get married to the girl i love and return to my old job at the [unclear]wool[/unclear] factory and buy me a place of my own and make things pleasant for my wife and family and after that i will return to some airport and take up flying the [unclear]job[/unclear] i love most in the world because i believe after the war there will be more planes bought and before the war. i have always wanted to fly and i believe my chance will come in [unclear]fact[/unclear] i can [unclear]me it will [/unclear]the girl that i am going to marry don't want me to fly but i would almost give her up if i had to choose between her and flying ever since i was a little boy i loved aviation and when i had just about enough money to start training [unclear]well[/unclear] something happened and then came the war as i had to put it off until after the war but i am still hoping the war will end soon so i can begin flying as soon as possible i think if i stick to my about flying i will get somewhere.,black,1432,[unclear]job[/unclear],job
i have decided what i am going to do after the war i am going to get married to the girl i love and return to my old job at the [unclear]wool[/unclear] factory and buy me a place of my own and make things pleasant for my wife and family and after that i will return to some airport and take up flying the [unclear]job[/unclear] i love most in the world because i believe after the war there will be more planes bought and before the war. i have always wanted to fly and i believe my chance will come in [unclear]fact[/unclear] i can [unclear]me it will [/unclear]the girl that i am going to marry don't want me to fly but i would almost give her up if i had to choose between her and flying ever since i was a little boy i loved aviation and when i had just about enough money to start training [unclear]well[/unclear] something happened and then came the war as i had to put it off until after the war but i am still hoping the war will end soon so i can begin flying as soon as possible i think if i stick to my about flying i will get somewhere.,black,1432,[unclear]fact[/unclear],fact
