long,racial_group,index,bracket,correct,,
about the question of separated service club and px[post exchange] every one should have the same thing and share it among one and nother[one another] no discrimination what so ever because we all are fighting for the same thing fighting united there is no bullet that wont pearse[pierce] a colored skin that it wont do the same thing for a whit[white] we are only human all of us so there for we should corporate[cooperate] and stand united lincoln said united we stand less we fall yours. truely[truly] --,black,1890,[post exchange]|[one another]|[pierce]|[white]|[cooperate]|[truly],about the question of separated service club and post exchange every one should have the same thing and share it among one and one another no discrimination what so ever because we all are fighting for the same thing fighting united there is no bullet that wont pierce a colored skin that it wont do the same thing for a white we are only human all of us so there for we should cooperate and stand united lincoln said united we stand less we fall yours truly --,,
well i would say the army was all right if they coud [could] get my eyes well well i have ask for a appointment for my eyes but they will not give me one for them my eyes were 20-40- when i came in the army and now they are 70-100- well it is many soldiers here i like and i would hate to be on the battlefled [battlefield] in my shape if they would do something for my eyes i could be a better soldiers but i have told the doctors the sam [same] thing over and over again so i guess it best for me to try to get me a discharge and doctor on my self.,black,1892,[could]|[battlefield]|[same],well i would say the army was all right if they could get my eyes well well i have ask for a appointment for my eyes but they will not give me one for them my eyes were 20-40- when i came in the army and now they are 70-100- well it is many soldiers here i like and i would hate to be on the battlefield in my shape if they would do something for my eyes i could be a better soldiers but i have told the doctors the same thing over and over again so i guess it best for me to try to get me a discharge and doctor on my self.,,
"i have been in the army since june, 1941 since that time i have not seen my parents or girl freinds[friends]. i have been sent to southern and western camps where i dont like the conditions and the prejudice of the white people as i am used to an entirely different sort of white person as i went to a mixed school where there were very few negro's and i got along perfectly the army gives you a chance to make good but it also causes a man to have a don't care attitude after spending nearly two years in the same place doing the same things every day and not having any decent plans to go after he is through for the day. and this post is the end of nowhere. if a man could be near someone he loves he don;t feel as bad but spend two years away from everybody and he loses his sense of humor",black,1908,[friends],"i have been in the army since june, 1941 since that time i have not seen my parents or girl friends. i have been sent to southern and western camps where i dont like the conditions and the prejudice of the white people as i am used to an entirely different sort of white person as i went to a mixed school where there were very few negro's and i got along perfectly the army gives you a chance to make good but it also causes a man to have a don't care attitude after spending nearly two years in the same place doing the same things every day and not having any decent plans to go after he is through for the day. and this post is the end of nowhere. if a man could be near someone he loves he don;t feel as bad but spend two years away from everybody and he loses his sense of humor",,
i want to know  why the negro don't vote in the south an also why he  such a hard way to go down there.   think. 25 years why  some of my people in the south  an it is nothing said. i hope to the good lord i will live to see the day that will  stop. it make me cry at times when i read what is happening in my one home state i am praying that some day that i can i live in a free state. i have know  of the officil [official] that is over me the only thing is to try to get along whith [with] them and do as you are told[.] but have time they task over a soldier that is sick of course i find that all of the officil [official] do about the soul  same thing they are a little hard on the soldiers than other times but i best there is same cause by   so[.]  so my  about then all is about the same they tell you some things that will help you at a  ,black,1919,[official]|[with]|[.]|[official]|[.],i want to know  why the negro don't vote in the south an also why he  such a hard way to go down there.   think. 25 years why  some of my people in the south  an it is nothing said. i hope to the good lord i will live to see the day that will  stop. it make me cry at times when i read what is happening in my one home state i am praying that some day that i can i live in a free state. i have know  of the official that is over me the only thing is to try to get along with them and do as you are told. but have time they task over a soldier that is sick of course i find that all of the official do about the soul  same thing they are a little hard on the soldiers than other times but i best there is same cause by   so.  so my  about then all is about the same they tell you some things that will help you at a  ,,
"my health is bad and seems to be getting worse and they either do not believe me or do not care what happens, and i do not think the colored soldiers are treated fair they should let them take up the training that they think they can handle or master and also let more go to officers training school. they should not seperate the officers in their mess hall and should not have seperate officers clubs because of their color. there should be better transportation for colored soldiers in traveling to and from home my health is bad and seems to be getting worse and they either do not believe me or do not care what happens, [break] and i do not think the colord soldiers are treated fair they should let them take up the training that they think they can handle or master and also let more go to officers training school. [break] they should not seperate the officers in their mess hall and should not have seperate officers clubs because of their color. there should be better transportation for colord soldiers in traveling to and from home",black,1934,[break]|[break],"my health is bad and seems to be getting worse and they either do not believe me or do not care what happens, and i do not think the colored soldiers are treated fair they should let them take up the training that they think they can handle or master and also let more go to officers training school. they should not seperate the officers in their mess hall and should not have seperate officers clubs because of their color. there should be better transportation for colored soldiers in traveling to and from home my health is bad and seems to be getting worse and they either do not believe me or do not care what happens, and i do not think the colord soldiers are treated fair they should let them take up the training that they think they can handle or master and also let more go to officers training school. they should not seperate the officers in their mess hall and should not have seperate officers clubs because of their color. there should be better transportation for colord soldiers in traveling to and from home",,
"this phamphlet [pamphlet] is a very good suggestion as to personal opinion about the army and what it takes, an [and] i think the questions is well fitted for the situation.",black,1944,[pamphlet]|[and],"this pamphlet is a very good suggestion as to personal opinion about the army and what it takes, and i think the questions is well fitted for the situation.",,
i rather be in the north for it is close to my famil[y] pleas[e] do leave me hear [here],black,1953,[y]|[e]|[here],i rather be in the north for it is close to my family please do leave me here,,
i think negros  white people them i think white people should give negros a little better chance so he may make a  liveing [living] for his family i dont think negros should class with white people but i do think they should have a better liveing [living] condishion [condition] among themselfs [themselves],black,1960,[living]|[living]|[condition]|[themselves],i think negros  white people them i think white people should give negros a little better chance so he may make a living for his family i dont think negros should class with white people but i do think they should have a better living condition among themselves,,
there is entirely too much segregation in the armed forces. the federal gov't [government] should pass laws to eliminate lynching and discrimination all over the u.s. [united states] how is a soldier expected to fight for his country when a few miles outside of his camp children of his race are lynched by a mob of people of another race. the armed forces should give the negro a better chance to serve his country to the best of his capacity. anything short of this will destroy morale and decrease his effective-ness as a fighting man and war worker.,black,1962,[government]|[united states],there is entirely too much segregation in the armed forces. the federal government should pass laws to eliminate lynching and discrimination all over the united states how is a soldier expected to fight for his country when a few miles outside of his camp children of his race are lynched by a mob of people of another race. the armed forces should give the negro a better chance to serve his country to the best of his capacity. anything short of this will destroy morale and decrease his effective-ness as a fighting man and war worker.,,
the reason while i said it is betta for the negro soldiers to have a service club to them because we have come with soldier an from the south an it migh [might] cause hard friend ship a maun [among] the soldiers.,black,1969,[might]|[among],the reason while i said it is betta for the negro soldiers to have a service club to them because we have come with soldier an from the south an it might cause hard friend ship a among the soldiers.,,
"there is however one part and it concerns the negro. i think if treated properly he can be made one of america's best men all around. because after the war and mainly the true fact is he wants to see how the out come [outcome] will be if progressive to his race he will have as the army teaches more morale and common judgement than before, and also respect for his white brother whom he has been so loyally serving for many years.",black,1970,[outcome],"there is however one part and it concerns the negro. i think if treated properly he can be made one of america's best men all around. because after the war and mainly the true fact is he wants to see how the outcome will be if progressive to his race he will have as the army teaches more morale and common judgement than before, and also respect for his white brother whom he has been so loyally serving for many years.",,
i think that soldier from the northern states should stay in camps in the north and not the south negro soilder [soldier] are treated better in the north. but they do get hell in the south. no negro soilder wants to go to a camp in the southern states. i would rather be in hell than in a southern camp.,black,1977,[soldier],i think that soldier from the northern states should stay in camps in the north and not the south negro soldier are treated better in the north. but they do get hell in the south. no negro soilder wants to go to a camp in the southern states. i would rather be in hell than in a southern camp.,,
"we are living in a supposedly civilized area. an area in which men through intelligence should compromise. instead we find a clash among races, colors and creeds. the irony of it is usually the man pushed aside is of more value to his community. this set up we have in america is  to america's own well being. there is plenty for all why cut each other's throats to get our share. wake up white america and realize your negro  isnt [isn't] as bad as you think - give him a chance.",black,1978,[isn't],"we are living in a supposedly civilized area. an area in which men through intelligence should compromise. instead we find a clash among races, colors and creeds. the irony of it is usually the man pushed aside is of more value to his community. this set up we have in america is  to america's own well being. there is plenty for all why cut each other's throats to get our share. wake up white america and realize your negro isn't as bad as you think - give him a chance.",,
"the housing condition [conditions] are inferior to that of the whites. the food is poorley [poorly] prepared and the amounts of food are inadequate to sustain life and hard work. the beds are poor and the barracks are cheaply constructed. the sanitary conditions are not adequate. latrines are too small for the number of men using them.  the army buses are segregated with 3 back seats for colored. the p.x.s"" are segregated, the cafeteria's are segregated, which i think and millians [millions] of others think is a very poor example of what we are fighting for. i am fighting for a right and i am being denied that right. here in america. [america]. with god's' help we shall be better off.",black,1994,[conditions]|[poorly]|[millions]|[america],"the housing conditions are inferior to that of the whites. the food is poorly prepared and the amounts of food are inadequate to sustain life and hard work. the beds are poor and the barracks are cheaply constructed. the sanitary conditions are not adequate. latrines are too small for the number of men using them.  the army buses are segregated with 3 back seats for colored. the p.x.s"" are segregated, the cafeteria's are segregated, which i think and millions of others think is a very poor example of what we are fighting for. i am fighting for a right and i am being denied that right. here in america. with god's' help we shall be better off.",,
dear sir i cant understand why all the places around here a off limit to colored soliders and we dont have any place to go for a recation [recreation] and when we can go we cant get any bus service. and the white soldiers can get there furlough with a overnight pass but all the colored cant get theres untill 24.00 and when we make a  a long distant they put all white soliders that are not in . and may god help the colored soliders so way.,black,1997,[recreation],dear sir i cant understand why all the places around here a off limit to colored soliders and we dont have any place to go for a recreation and when we can go we cant get any bus service. and the white soldiers can get there furlough with a overnight pass but all the colored cant get theres untill 24.00 and when we make a  a long distant they put all white soliders that are not in . and may god help the colored soliders so way.,,
"in my opinion this is not a questionnaire to determine the actual feeling of negro in this war, but what the negro thing [think] of the white man in the south. the white southerner hates a negro. he doesn't know why. his mother and father taught him to hate a black man. there are no reasons, merely traditions handed generation after generation. if they were more educated, this would be a better place for all concerned.",black,2011,[think],"in my opinion this is not a questionnaire to determine the actual feeling of negro in this war, but what the negro think of the white man in the south. the white southerner hates a negro. he doesn't know why. his mother and father taught him to hate a black man. there are no reasons, merely traditions handed generation after generation. if they were more educated, this would be a better place for all concerned.",,
i could hardly be beat as a soliders [sic] if i had the chance to get out of camp more often and didn't have to go so far to town and such bad transportation all work and no play makes very poor soliders [sic],black,2012,[sic]|[sic],i could hardly be beat as a soliders if i had the chance to get out of camp more often and didn't have to go so far to town and such bad transportation all work and no play makes very poor soliders,,
in the south if we buy a ticket on a bus three hours before it leaves for camp & the white boy buy theres [theirs] just before it leaves we have to wait for the next bus & if its crowed [crowded] too we have to walk to camp or be awol. {paragraph] they also send us to expencise [expensive] schools & then send us places to be stooges or grease monkeys & detail yard boids [birds].  in my opinion fuck the army. its no place for a negro.,black,2016,[theirs]|[crowded]|[expensive]|[birds],in the south if we buy a ticket on a bus three hours before it leaves for camp & the white boy buy theirs just before it leaves we have to wait for the next bus & if its crowded too we have to walk to camp or be awol. they also send us to expensive schools & then send us places to be stooges or grease monkeys & detail yard boids birds.  in my opinion fuck the army. its no place for a negro.,,
"i would like to know just why we dont get a chance to be many have them we are & egli fla is not so good by me and the guard house they don't let you have any other clothing than what you have on that is not right. they take you money for nothing just about it they fine you $3, 25 [cents]   and they work one sunday and the rest of the guard do not let them work on sunday.  are [our] picture show is most like the rest that is all for now until we meet  day.",black,2032,[cents]|[our],"i would like to know just why we dont get a chance to be many have them we are & egli fla is not so good by me and the guard house they don't let you have any other clothing than what you have on that is not right. they take you money for nothing just about it they fine you $3, 25 cents  and they work one sunday and the rest of the guard do not let them work on sunday.  our picture show is most like the rest that is all for now until we meet  day.",,
i think it is a good idea colored & white officers in companys [companies] together it makes no difference if they are from the north or south. i think that negroes in the south & in the north will get a better living for there [their] families after the war has ended. i think white & colored will get along better after this war on jobs & in civil life. i hope after this war there will be no more disputes between all races. the colored people in the south should have equal brakes [breaks] as the colored people have in the northern states on jobs & have previlages [privileges] to go to all public places as long as they know how to treat one another.,black,2042,[companies]|[their]|[breaks]|[privileges],i think it is a good idea colored & white officers in companies together it makes no difference if they are from the north or south. i think that negroes in the south & in the north will get a better living for their families after the war has ended. i think white & colored will get along better after this war on jobs & in civil life. i hope after this war there will be no more disputes between all races. the colored people in the south should have equal breaks as the colored people have in the northern states on jobs & have privileges to go to all public places as long as they know how to treat one another.,,
it has been said the negroes were fightin for  same thing as the wwhite people so why should it be that we hafter to stay one place and they stay a nother. it has been said no deomcracy [democracy] but it plenty of that here. we should have a eagle break with the white man we are fighting for the same thing they are fighting they say.,black,2092,[democracy],it has been said the negroes were fightin for  same thing as the wwhite people so why should it be that we hafter to stay one place and they stay a nother. it has been said no democracy but it plenty of that here. we should have a eagle break with the white man we are fighting for the same thing they are fighting they say.,,
"i feel this is a very good questionnaire. it should give a good cross section of what we are thinking. from these  in  should come some solutions of this racial problem we have here in this country. when we as a group feel that although we are giving  our lives for this country the minute the war is over  the people we are figh[t]ing will at  have more privileges than us, makes us feel very badly. we know it is not right and the white people of this country know it is not right. why then in the name of god do the better thinking white people of the country permit such to exist. god help us to some day enjoy the things we are fighting for.",black,2094,[t],"i feel this is a very good questionnaire. it should give a good cross section of what we are thinking. from these  in  should come some solutions of this racial problem we have here in this country. when we as a group feel that although we are giving  our lives for this country the minute the war is over  the people we are fighting will at  have more privileges than us, makes us feel very badly. we know it is not right and the white people of this country know it is not right. why then in the name of god do the better thinking white people of the country permit such to exist. god help us to some day enjoy the things we are fighting for.",,
"the questionnaire is pointless as far as i can see &[and] unless action is taken from the results i can further see its futility.  since i am the company clerk i know a lot about the men being examined. in my opinion a proper cross section of the company was not chosen. most of the men chosen, excusing about ten, were men of low intelligence ratings. if this is unintentional, i can readily see how the mistake could have been made; if not i can also see why it was permitted to happen.",black,2158,[and],"the questionnaire is pointless as far as i can see and unless action is taken from the results i can further see its futility.  since i am the company clerk i know a lot about the men being examined. in my opinion a proper cross section of the company was not chosen. most of the men chosen, excusing about ten, were men of low intelligence ratings. if this is unintentional, i can readily see how the mistake could have been made; if not i can also see why it was permitted to happen.",,
the only thing that i dont [don't] like about the  when you go there they dont [don't] seem to want to help a person they just give him something look like to me to get him off thire [their] hand thats the only thing i dont like,black,2162,[don't]|[don't]|[their],the only thing that i don't like about the  when you go there they don't seem to want to help a person they just give him something look like to me to get him off their hand thats the only thing i dont like,,
we should be brotherly and work together learn  on another and then there would be unity and where there is unity there is strenght [strength].,black,2168,[strength],we should be brotherly and work together learn  on another and then there would be unity and where there is unity there is strength.,,
the office dont [don't] treat the negro fair they dont [don't] get  hardly to eat they cuss you when your  wore out they want fix them they want give you know  and they got to fight for their country the the mess sargant [sergeant] cuss you like a dogs they wont [won't] let you go no where you restriced the the  all the time and when a man wife come up to see him they wont [won't] give him know pass to go to town with her[.] some time they wont [won't] let you go to the shore you have to stay in the only you cant [can't] go no where but the  and  in your  i think it away bad for a soldier cant [can't] go no where to  his mind together if they  of them going to leave and they going to have to come and get them,black,2175,[don't]|[don't]|[sergeant]|[won't]|[won't]|[.]|[won't]|[can't]|[can't],the office don't treat the negro fair they don't get  hardly to eat they cuss you when your  wore out they want fix them they want give you know  and they got to fight for their country the the mess sergeant cuss you like a dogs they won't let you go no where you restriced the the  all the time and when a man wife come up to see him they won't give him know pass to go to town with her. some time they won't let you go to the shore you have to stay in the only you can't go no where but the  and  in your  i think it away bad for a soldier can't go no where to  his mind together if they  of them going to leave and they going to have to come and get them,,
"i am from the north i don't like it here in the south. its is to[o] far from my home town. i am way down here in alabama and i am from phila[delphia], pa. i think that i should be sent near home because i might be sent over sea and not return. so some body try and change it. if i get a ferlow [furlogh] 11 days it take me about 5 days to come and go from camp.",black,2180,[o]|[delphia]|[furlogh],"i am from the north i don't like it here in the south. its is too far from my home town. i am way down here in alabama and i am from philadelphia, pa. i think that i should be sent near home because i might be sent over sea and not return. so some body try and change it. if i get a furlogh 11 days it take me about 5 days to come and go from camp.",,
"i think that on the whole the questionaire is a good and should reveal some valuable information if taken seriously. the morale of the negro soldier as well as the negro civilian i think from my observation is not good. i think that this is certainly an important war and the negro people as well as soldiers could be used to great advantage in bringing about the successful [persectution?] of the war effort; however this can never be done under the present system and policy of the war department and the navy who as agents of the government condone or permit and openly discriminate, segregate and show that it does not regard the feelings & attitudes of the negro at all. one asks the question. how can we sincerely believe in such a government which denies a substantial number of its citizens the rights of full citizenship. the negro people must be given a stake in this government and thereby a stake in the [war?]. people don't decide to become  fighting  merely because they are in the army. no one can hope that people who have been denied their rights of citizenship and fucked around in general had  in the united states separated by the whits and black color [unclear) in the public, on the job, in the army,in the navy etcetera etcetera and finally become a well knit fighting team on far flung battlefields.",black,2193,[persectution?]|[war?],"i think that on the whole the questionaire is a good and should reveal some valuable information if taken seriously. the morale of the negro soldier as well as the negro civilian i think from my observation is not good. i think that this is certainly an important war and the negro people as well as soldiers could be used to great advantage in bringing about the successful persecution of the war effort; however this can never be done under the present system and policy of the war department and the navy who as agents of the government condone or permit and openly discriminate, segregate and show that it does not regard the feelings & attitudes of the negro at all. one asks the question. how can we sincerely believe in such a government which denies a substantial number of its citizens the rights of full citizenship. the negro people must be given a stake in this government and thereby a stake in the war. people don't decide to become  fighting  merely because they are in the army. no one can hope that people who have been denied their rights of citizenship and fucked around in general had  in the united states separated by the whits and black color in the public, on the job, in the army,in the navy etcetera etcetera and finally become a well knit fighting team on far flung battlefields.",,
looks at this paper will  it up but i don't care this is the way i feel about the whole thing and i wish to god i was home because if something don't happen soon i will go crazy. the people on the outside don't know what is going one [on]. if they did they would do something about it. how do you expect me to put my set what i am doing when i am being treated like i am. when you are sick all they give you is a pill. pill for anything when you are sick they don't give a dam at all. i would work for nothing for 7 days a week just to get of [out] of the army. because i have left my child and family and i know of a lot of men that is not  still home with 47  why and i am criple [crippled] i can't make the hikes my feet and legs can't stand it they swell up on me but what to they care about me. but i believe in god and i know he will help me. thanks for reading my letter and i wish and hope we colored men get some results because the good house is getting very full.,black,2201,[on]|[out]|[crippled],looks at this paper will  it up but i don't care this is the way i feel about the whole thing and i wish to god i was home because if something don't happen soon i will go crazy. the people on the outside don't know what is going on. if they did they would do something about it. how do you expect me to put my set what i am doing when i am being treated like i am. when you are sick all they give you is a pill. pill for anything when you are sick they don't give a dam at all. i would work for nothing for 7 days a week just to get of out of the army. because i have left my child and family and i know of a lot of men that is not  still home with 47  why and i am crippled i can't make the hikes my feet and legs can't stand it they swell up on me but what to they care about me. but i believe in god and i know he will help me. thanks for reading my letter and i wish and hope we colored men get some results because the good house is getting very full.,,
"but the white soldiers seems to have the better breaks. then to the negro as a soldier should never be sent to a southern camp because he is hated more so by the southern white man than the northern white man. first buss [bus] transportation is very poor in the south for negro soldiers and in many cases he can't even wride [ride] the buss [bus] even after he has bought a ticket and can't get his money back. then to the negro is made get up and give some white his seat. and i think as a whole the negro has just as much respect as the whites. we as respictiable [respectable] negros has work and fought hard in the american wars as well as the whites. this is our country. so it is time for our white brothers stop fighting us negroes and fight his enemy, because we are his friends. and we lay our lives down as same as he do in time of war.",black,2204,[bus]|[ride]|[bus]|[respectable],"but the white soldiers seems to have the better breaks. then to the negro as a soldier should never be sent to a southern camp because he is hated more so by the southern white man than the northern white man. first bus transportation is very poor in the south for negro soldiers and in many cases he can't even ride the bus even after he has bought a ticket and can't get his money back. then to the negro is made get up and give some white his seat. and i think as a whole the negro has just as much respect as the whites. we as respectable negros has work and fought hard in the american wars as well as the whites. this is our country. so it is time for our white brothers stop fighting us negroes and fight his enemy, because we are his friends. and we lay our lives down as same as he do in time of war.",,
"one item that i think is all important to a soldiers training is morale. this camp has not given much thought to any-thing except work. we have no place where a man can go and relax after a hard days work, i know that this is a combat outfit, and that we have very little time to prepare, but there should be a let up once in a while, while in training. we are being  so many thing so quickly that i haven't been thoroughly trained to do anything well.  in the 2 1/2 mo.[months] i have been in the army i have had about 5 days off, and then couldn't get off the camp. when i first got here i tried my best to act like a good soldier, but it got me no farther than those who ""gold bricked"" therefore i have fallen in with those who ""just don't give a damn""  my biggest ""gripe"" concerns the general treatment of the men at this post. those who work hard, and are able to learn are kept in that same class with those who have no  of trying to get anywhere. it all has me very confused.",black,2212,[months],"one item that i think is all important to a soldiers training is morale. this camp has not given much thought to any-thing except work. we have no place where a man can go and relax after a hard days work, i know that this is a combat outfit, and that we have very little time to prepare, but there should be a let up once in a while, while in training. we are being  so many thing so quickly that i haven't been thoroughly trained to do anything well.  in the 2 1/2 months i have been in the army i have had about 5 days off, and then couldn't get off the camp. when i first got here i tried my best to act like a good soldier, but it got me no farther than those who ""gold bricked"" therefore i have fallen in with those who ""just don't give a damn""  my biggest ""gripe"" concerns the general treatment of the men at this post. those who work hard, and are able to learn are kept in that same class with those who have no  of trying to get anywhere. it all has me very confused.",,
i myself join the army to help better the condition my race is in and i don't think there should be any seperating at all in the army you see bullet the killer as no eyes he kills anybody and everyone even you or me could be buddy if it wasn't for the way thing are done in the united state i love my family and i have a wonder girl to return to maybe get marryd if the times are that not to be expected.  the thing war department to help we negro soldier is to stop this nasty ways of seperating of our people from white are blood run through veins too and it is red  i hope to return to my family soon but i'm not affraid of the war because i'd be a soldier to seems people get a  in this world. i myself join the army to help better the condition my race is in and i don't think their should be any separating at all in the army you see bullet the killer as no eyes. he kills anybody and everyone even you as me could be buddy if it wasn't for the way things are done in the united state i love my family and i have a wonder girl to return to maybe get married if the times are that not to be expected. [break] the thing the war department to help us negro soldiers is to stop this nasty ways of separating of our people from white are blood run through viens too and it is red [break] i hope to return to my family soon but i'm not affraid of the war because i'd be a soldier to see my people get a rease in the world.,black,2225,[break]|[break],i myself join the army to help better the condition my race is in and i don't think there should be any seperating at all in the army you see bullet the killer as no eyes he kills anybody and everyone even you or me could be buddy if it wasn't for the way thing are done in the united state i love my family and i have a wonder girl to return to maybe get marryd if the times are that not to be expected.  the thing war department to help we negro soldier is to stop this nasty ways of seperating of our people from white are blood run through veins too and it is red  i hope to return to my family soon but i'm not affraid of the war because i'd be a soldier to seems people get a  in this world. i myself join the army to help better the condition my race is in and i don't think their should be any separating at all in the army you see bullet the killer as no eyes. he kills anybody and everyone even you as me could be buddy if it wasn't for the way things are done in the united state i love my family and i have a wonder girl to return to maybe get married if the times are that not to be expected. the thing the war department to help us negro soldiers is to stop this nasty ways of separating of our people from white are blood run through viens too and it is red i hope to return to my family soon but i'm not affraid of the war because i'd be a soldier to see my people get a rease in the world.,,
well if i could get to go home once in a while i would mind the army. i would like to see my mother an[d] wife an[d] baby.  when we get to go to town we haft [have] to waite [wait] till the white boys get on the bus and if there is no room we will haft [have] to waite [wait] till the next bus come along. they run when they get readie [ready].  we don't have a  to do  at night because they work us from 6 to 6.30 an[d] then some time longer then that this is the only camp that does that. that is i no [know] of but i wish that i was out of this camp in to a better one. well if i could go home once in a while i would mind the army. i would like to see my mother an wife an baby. [break] when we get to go to town we haft to waite till the white boys get on the bus and if there is no room we will haft to waite till the next bus come along. they run when they get . [break] we don't have a  to do  at night because they work us from 6 to 6.30 an then some time longer then that this is the only camp that does that. that is 2 hr of. but of wish that i was out of this camp in to a better one.,black,2226,[d]|[d]|[have]|[wait]|[have]|[wait]|[ready]|[d]|[know]|[break]|[break],well if i could get to go home once in a while i would mind the army. i would like to see my mother and wife and baby.  when we get to go to town we have to wait till the white boys get on the bus and if there is no room we will have to wait till the next bus come along. they run when they get ready.  we don't have a  to do  at night because they work us from 6 to 6.30 and then some time longer then that this is the only camp that does that. that is i know of but i wish that i was out of this camp in to a better one. well if i could go home once in a while i would mind the army. i would like to see my mother an wife an baby. when we get to go to town we haft to waite till the white boys get on the bus and if there is no room we will haft to waite till the next bus come along. they run when they get . we don't have a  to do  at night because they work us from 6 to 6.30 an then some time longer then that this is the only camp that does that. that is 2 hr of. but of wish that i was out of this camp in to a better one.,,
"i dont [don't] see any point in running two and three miles (that may be army rule's [rules]). you can not complain to your noncom they wont [won't] talk to you. any thing that you do they want to work you for it. why you cannot be transfered [transferred] to another camp if you dislike this one. up all hours and on call all night long. for doing any little thing against army rules they will have you drilling all night long or they make you report at orderly room every 15 minutes all night long no chance to even get to sleep. our first sergeant will not allow you to see company commander, only at time when he feels like it. would want to get transfered [transferred] to air base in mississippi i dont [don't] like it here.",black,2232,[don't]|[rules]|[won't]|[transferred]|[transferred]|[don't],"i don't see any point in running two and three miles (that may be army rules). you can not complain to your noncom they won't talk to you. any thing that you do they want to work you for it. why you cannot be transferred to another camp if you dislike this one. up all hours and on call all night long. for doing any little thing against army rules they will have you drilling all night long or they make you report at orderly room every 15 minutes all night long no chance to even get to sleep. our first sergeant will not allow you to see company commander, only at time when he feels like it. would want to get transferred to air base in mississippi i don't like it here.",,
  if we wer [were] together than may be [maybe] we would see  as they would,black,2243,[were]|[maybe],  if we were together than maybe we would see  as they would,,
"you cannot get a pass to see you[r] mother and she is sick, hell with, i don't to fight for any thing like that. white have ther [their] day, there [they're] all wright [right].  negro will have two days.  why they treat color so poor in ala, we should have a fight between north an[d] south  good lock [luck],  [underlined]thang [thank] you[/underlined]",black,2251,[r]|[their]|[they're]|[right]|[d]|[luck]|[underlined]|[thank]|[/underlined],"you cannot get a pass to see your mother and she is sick, hell with, i don't to fight for any thing like that. white have their day, they're alright.  negro will have two days.  why they treat color so poor in ala, we should have a fight between north and south  good luck, thank you",,
i rather discuss it to some high person and not write on this paper because if would take all day to pen my appion [opinion?],black,2269,[opinion?],i rather discuss it to some high person and not write on this paper because if would take all day to pen my opinion,,
"in the hope that this questionnaire may help a slight bit, the critical conditions the negro soldier has to face in the south he is still willing to die for his country. the taxicabs that offer some form of transportation have been restricted from the 92d inf. [infantry] div [division] area therefore causing the soldiers to suffer long delays in making the trip to town. i feel quite sure when a white soldier causes trouble the entire white population doesn't have to suffer.",black,2270,[infantry]|[division],"in the hope that this questionnaire may help a slight bit, the critical conditions the negro soldier has to face in the south he is still willing to die for his country. the taxicabs that offer some form of transportation have been restricted from the 92d inf. infantry division area therefore causing the soldiers to suffer long delays in making the trip to town. i feel quite sure when a white soldier causes trouble the entire white population doesn't have to suffer.",,
from my new point if the army would put more negros in the air-corps it would bring up the moral to a very high standard understand now me now [sic] i don't mean in the ground crews or  but in the fighter plains [sic] and large bombers. as it has been proven the negro is easy to learn in some cases more so than the average white boy. if the war dept. would take this into consideration it would be apriated [sic] by the entire negro race. also if the war dept. would put the negro and white boys together they would get along better and also cut down mob violence in the south.,black,2277,[sic]|[sic]|[sic],from my new point if the army would put more negros in the air-corps it would bring up the moral to a very high standard understand now me now i don't mean in the ground crews or  but in the fighter plains and large bombers. as it has been proven the negro is easy to learn in some cases more so than the average white boy. if the war dept. would take this into consideration it would be apriated by the entire negro race. also if the war dept. would put the negro and white boys together they would get along better and also cut down mob violence in the south.,,
the bus service is very poor an the huts is just like an ice box. i still rather be up north in some kind of camp than to be down hire [here] in the south there hills an rocks just kills my feet i can hardly walk if i go out on a hike an come back at  an they only want to give you 5 minutes brake you hardly have time to get a drink of water at times sounds like they driving a bunch of catle [cattle] one half of the time want you to look so clean an no time to do it in im just stock full of cold from being down hire [here] in this shed why i can lie in bed an look throught the cracks on the floore on the grown (ground),black,2285,[here]|[cattle]|[here],the bus service is very poor an the huts is just like an ice box. i still rather be up north in some kind of camp than to be down here in the south there hills an rocks just kills my feet i can hardly walk if i go out on a hike an come back at  an they only want to give you 5 minutes brake you hardly have time to get a drink of water at times sounds like they driving a bunch of cattle one half of the time want you to look so clean an no time to do it in im just stock full of cold from being down here in this shed why i can lie in bed an look throught the cracks on the floore on the ground,,
